reviewerID,asin,overall
A0096681Y127OL1H8W3U,B017QSM8DA,4.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0096681Y127OL1H8W3U,B00E8JOCOE,5.0
A0096681Y127OL1H8W3U,B00S730YWG,5.0
A0096681Y127OL1H8W3U,B017QSM8DA,4.0
A0096681Y127OL1H8W3U,B00OHXIAYO,5.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0096681Y127OL1H8W3U,B00S730YWG,5.0
A0096681Y127OL1H8W3U,B00OHXIAYO,5.0
A0096681Y127OL1H8W3U,B00E8JOCOE,5.0
A0096681Y127OL1H8W3U,B0098MLBAO,5.0
A0289048PRWFY7ZXQKCD,B001QUXAUU,4.0
A0289048PRWFY7ZXQKCD,B001QUZ5WQ,4.0
A0289048PRWFY7ZXQKCD,B000RB32QQ,3.0
A0289048PRWFY7ZXQKCD,B01G82SJRY,4.0
A0289048PRWFY7ZXQKCD,B00LORGN8Q,4.0
A0289048PRWFY7ZXQKCD,B007ZYXPJM,4.0
A0289048PRWFY7ZXQKCD,B00LORGJ1C,4.0
A0289048PRWFY7ZXQKCD,B00LORGK7U,4.0
A0289048PRWFY7ZXQKCD,B0094WJIRG,4.0
A0289048PRWFY7ZXQKCD,B00LORGN8Q,4.0
A0289048PRWFY7ZXQKCD,B001QUZ5WQ,4.0
A0289048PRWFY7ZXQKCD,B007ZYXPJM,4.0
A0289048PRWFY7ZXQKCD,B001QUXAUU,4.0
A0289048PRWFY7ZXQKCD,B01G82SJRY,4.0
A0289048PRWFY7ZXQKCD,B00LORGM28,4.0
A0289048PRWFY7ZXQKCD,B00L2CJWZE,4.0
A0289048PRWFY7ZXQKCD,B001QV3G0I,4.0
A0289048PRWFY7ZXQKCD,B00DYA21PU,3.0
A0289048PRWFY7ZXQKCD,B00A9ZO0HK,4.0
A0289048PRWFY7ZXQKCD,B00LORGK7U,4.0
A0289048PRWFY7ZXQKCD,B00R31J834,4.0
A0289048PRWFY7ZXQKCD,B005MIPHIK,4.0
A0289048PRWFY7ZXQKCD,B01EW1ABG0,4.0
A0289048PRWFY7ZXQKCD,B000RB32QQ,3.0
A0289048PRWFY7ZXQKCD,B00DYA21PU,3.0
A0289048PRWFY7ZXQKCD,B00A9ZO0HK,4.0
A0289048PRWFY7ZXQKCD,B005Z4RMTI,3.0
A0289048PRWFY7ZXQKCD,B00R31J834,4.0
A0289048PRWFY7ZXQKCD,B000HE5DUG,4.0
A0289048PRWFY7ZXQKCD,B0094WJIRG,4.0
A0289048PRWFY7ZXQKCD,B005Z4RMTI,3.0
A0289048PRWFY7ZXQKCD,B00L2CJWZE,4.0
A0289048PRWFY7ZXQKCD,B00LORGM28,4.0
A0289048PRWFY7ZXQKCD,B01EW1ABG0,4.0
A0289048PRWFY7ZXQKCD,B001QV3G0I,4.0
A0289048PRWFY7ZXQKCD,B00LORGJ1C,4.0
A0289048PRWFY7ZXQKCD,B005MIPHIK,4.0
A0289048PRWFY7ZXQKCD,B000HE5DUG,4.0
A0455940O5EUXQDU46QL,B01FL49VZE,5.0
A0455940O5EUXQDU46QL,B00GWXJVAE,4.0
A0455940O5EUXQDU46QL,B00UWBJM0Q,5.0
A0455940O5EUXQDU46QL,B00N7I1ZVU,4.0
A0455940O5EUXQDU46QL,B001DZDCNS,3.0
A0455940O5EUXQDU46QL,B00M0CS68E,5.0
A0455940O5EUXQDU46QL,B00J0H8EWA,4.0
A0455940O5EUXQDU46QL,B00GWXJVAE,4.0
A0455940O5EUXQDU46QL,B00YQBAFX6,5.0
A0455940O5EUXQDU46QL,B001DZDCNS,3.0
A0455940O5EUXQDU46QL,B00J0H8EWA,4.0
A0455940O5EUXQDU46QL,B01FL49VZE,5.0
A0455940O5EUXQDU46QL,B00M0CS68E,5.0
A0455940O5EUXQDU46QL,B00UWBJM0Q,5.0
A0455940O5EUXQDU46QL,B00YQBAFX6,5.0
A0455940O5EUXQDU46QL,B00N7I1ZVU,4.0
A07936821FOVJO6NP4Q8,B009OJFRRE,3.0
A07936821FOVJO6NP4Q8,B000BO9CJ0,4.0
A07936821FOVJO6NP4Q8,B0046HAATE,3.0
A07936821FOVJO6NP4Q8,B0064DVMVI,5.0
A07936821FOVJO6NP4Q8,B0062O6K3Y,3.0
A07936821FOVJO6NP4Q8,B005R8580M,5.0
A07936821FOVJO6NP4Q8,B00AGKA9IC,5.0
A07936821FOVJO6NP4Q8,B003OYJFKU,4.0
A07936821FOVJO6NP4Q8,B00FZK910K,3.0
A07936821FOVJO6NP4Q8,B000LGPD64,5.0
A07936821FOVJO6NP4Q8,B01ATL97U8,5.0
A07936821FOVJO6NP4Q8,B013L2MQ6E,5.0
A07936821FOVJO6NP4Q8,B000H6GT4S,1.0
A07936821FOVJO6NP4Q8,B000H6GT4S,1.0
A07936821FOVJO6NP4Q8,B00EZRSJ0C,3.0
A07936821FOVJO6NP4Q8,B00FZK910K,3.0
A07936821FOVJO6NP4Q8,B00EZRSJ0C,3.0
A07936821FOVJO6NP4Q8,B00AGKA9IC,5.0
A07936821FOVJO6NP4Q8,B003OYJFKU,4.0
A07936821FOVJO6NP4Q8,B004NG8V9E,5.0
A07936821FOVJO6NP4Q8,B000LGPD64,5.0
A07936821FOVJO6NP4Q8,B013L2MQ6E,5.0
A07936821FOVJO6NP4Q8,B01ATL97U8,5.0
A07936821FOVJO6NP4Q8,B0062O6K3Y,3.0
